序号,事件,时间
0,START,1646999472141
1,SINGLE_WAKEUP,1646999477151
2,WAKEUP,1646999477183
3,ASR_RECOGNITION,1646999477261
4,SINGLE_WAKEUP,1646999480793
5,WAKEUP,1646999480896
6,ASR_RECOGNITION,1646999480957
7,SINGLE_WAKEUP,1646999484586
8,WAKEUP,1646999484641
9,ASR_RECOGNITION,1646999484727
10,SINGLE_WAKEUP,1646999488273
11,WAKEUP,1646999488330
12,ASR_RECOGNITION,1646999488382
13,SINGLE_WAKEUP,1646999491975
14,WAKEUP,1646999492036
15,ASR_RECOGNITION,1646999492104
