序号,事件,时间
0,START,1646981936596
1,SINGLE_WAKEUP,1646981941808
2,WAKEUP,1646981941983
3,SINGLE_WAKEUP,1646981945435
4,WAKEUP,1646981945498
5,ASR_RECOGNITION,1646981945554
6,SINGLE_WAKEUP,1646981949086
7,WAKEUP,1646981949168
8,ASR_RECOGNITION,1646981949250
9,SINGLE_WAKEUP,1646981952876
10,WAKEUP,1646981952940
11,ASR_RECOGNITION,1646981953002
12,SINGLE_WAKEUP,1646981956544
13,WAKEUP,1646981956576
14,ASR_RECOGNITION,1646981956651
