序号,事件,时间
0,START,1646978583762
1,SINGLE_WAKEUP,1646978589017
2,WAKEUP,1646978589190
3,SINGLE_WAKEUP,1646978592806
4,WAKEUP,1646978592854
5,ASR_RECOGNITION,1646978592952
6,SINGLE_WAKEUP,1646978596476
7,WAKEUP,1646978596507
8,ASR_RECOGNITION,1646978596584
9,SINGLE_WAKEUP,1646978600197
10,WAKEUP,1646978600252
11,ASR_RECOGNITION,1646978600316
12,SINGLE_WAKEUP,1646978603874
13,WAKEUP,1646978603967
14,ASR_RECOGNITION,1646978604040
